"","X","countries","percent_servcices","Unemployment_rate","Life_expectancy","percent_young","percent_old"
"1",1,"Afghanistan",29.39,7.82,59.632,48.1781,3.874
"2",2,"Albania",36.72,14.2,75.639,22.4551,14.9649
"3",3,"Algeria",44.04,9.96,74.169,27.2828,7.7953
"4",4,"Angola",44.02,9.86,52.686,47.0416,3.7607
"5",5,"Argentina",75.39,7.71,74.868,26.036,14.2133
"6",6,"Armenia",43.99,19.01,72.739,19.4607,14.7881
"7",7,"Australia",75.79,5.21,81.476,19.0323,18.8436
"8",8,"Austria",69.88,4.82,80.13,14.7167,23.2676
"9",9,"Azerbaijan",48.05,5.63,70.095,22.8353,8.1149
"10",10,"Bahamas",82,14.32,72.008,26.8838,9.0071
"11",11,"Bahrain",63.19,1.13,75.689,20.3116,3.5461
"12",12,"Bangladesh",35.07,3.38,68.834,31.9869,7.0118
"13",13,"Barbados",69.21,10.69,78.112,19.743,18.0859
"14",14,"Belarus",54.55,1.15,69.259,14.8957,19.0625
"15",15,"Belgium",75.27,8.29,79.57,16.8827,23.2156
"16",16,"Belize",64.8,11.42,70.689,35.6127,5.956
"17",17,"Benin",44.2,1.04,58.56,43.846,4.9187
"18",18,"Bhutan",33.77,3.32,67.047,31.1726,7.5321
"19",19,"Bolivia (Plurin. State of)",49.33,2.54,66.617,34.4895,8.7869
"20",20,"Bosnia and Herzegovina",51.21,27.2,75.531,15.7371,19.2814
"21",21,"Botswana",59.83,17.86,55.874,34.9684,5.302
"22",22,"Brazil",61.74,7.26,72.8,24.8234,10.1533
"23",23,"Brunei Darussalam",80.04,6.16,74.433,25.9591,5.3643
"24",24,"Bulgaria",60.21,10.28,73.138,13.4963,25.2613
"25",25,"Burkina Faso",27.71,4.65,55.272,46.2234,3.9013
"26",26,"Burundi",6.1,1.57,55.267,45.1403,3.3323
"27",27,"Cabo Verde",23,10.67,70.646,32.3138,6.5316
"28",28,"Cambodia",29.58,0.35,65.117,33.3266,5.8793
"29",29,"Canada",77.9,8.06,80.761,16.4886,19.8951
"30",30,"Central African Republic",6.77,6.27,46,44.0561,4.5572
"31",31,"Chad",7.14,5.75,49.512,48.7669,3.9427
"32",32,"Channel Islands",49,9.67,80.929,15.544,21.4638
"33",33,"Chile",66.44,8.42,78.192,22.0818,13.2874
"34",34,"China",43.61,4.2,73.682,18.66,12.2005
"35",35,"China, Hong Kong SAR",86.45,4.31,82.428,11.9287,18.4052
"36",36,"China, Macao SAR",86.05,2.84,82.069,12.9674,10.934
"37",37,"Colombia",62.12,10.88,74.828,27.2685,9.6972
"38",38,"Comoros",29.46,4.44,60.886,41.0441,4.4979
"39",39,"Congo",37.55,14.55,58.183,41.6347,4.0299
"40",40,"Costa Rica",65.26,8.92,78.416,24.3076,10.7989
"41",41,"Côte d’Ivoire",44.58,3.08,51.415,43.6211,4.5381
"42",42,"Croatia",58.29,11.62,76.095,15.4426,23.7939
"43",43,"Cuba",64.32,2.5,78.11,17.7411,17.3467
"44",44,"Cyprus",75.8,6.26,78.964,17.8366,16.0867
"45",45,"Czechia",58.92,7.28,76.986,14.2415,22.3995
"46",46,"Dem. People's Rep. Korea",15.78,4.56,68.441,22.6383,12.9497
"47",47,"Dem. Rep. of the Congo",8.67,3.7,55.482,46.1406,4.7197
"48",48,"Denmark",77.97,7.46,78.582,17.9497,23.3089
"49",49,"Djibouti",39.39,6.2,59.05,32.5639,6.0636
"50",50,"Dominican Republic",67.37,5.02,71.446,30.6104,8.5013
"51",51,"Ecuador",53.63,4.09,74.594,31.0373,8.558
"52",52,"Egypt",46.92,11.85,69.867,32.5562,7.5648
"53",53,"El Salvador",57.87,4.89,70.617,31.6407,9.9157
"54",54,"Equatorial Guinea",37.06,5.58,54.895,38.5024,4.4294
"55",55,"Estonia",65.47,16.71,73.778,15.1332,23.2469
"56",56,"Eswatini",17.98,27.79,43.845,40.1881,5.5619
"57",57,"Finland",72.26,8.39,79.541,16.5226,24.7645
"58",58,"France",74.84,8.87,80.952,18.4778,23.0714
"59",59,"French Polynesia",72.61,17.97,74.99,25.4797,9.3051
"60",60,"Gabon",44.27,20.39,59.581,37.4332,5.9968
"61",61,"Gambia",52.47,9.41,58.851,45.1453,4.2534
"62",62,"Georgia",41.47,16.3,70.745,17.955,18.9285
"63",63,"Germany",70.04,6.97,79.732,13.5684,26.0742
"64",64,"Ghana",42.76,5.32,60.126,39.2865,4.6175
"65",65,"Greece",68.02,12.71,80.008,15.055,24.8238
"66",66,"Guam",73.87,8.2,77.356,27.5006,11.1431
"67",67,"Guatemala",43.19,3.74,70.504,39.366,6.0721
"68",68,"Guinea",23.79,4.55,55.554,46.1749,4.6284
"69",69,"Guinea-Bissau",8.95,6.33,53.306,43.1457,4.3243
"70",70,"Guyana",57.95,10.92,67.371,32.2166,7.2567
"71",71,"Haiti",42.54,15.95,59.65,36.2674,6.5311
"72",72,"Honduras",43.55,4.12,72.657,37.5811,5.7566
"73",73,"Hungary",64.76,11.17,73.742,14.8599,22.1008
"74",74,"Iceland",75.97,7.56,81.393,20.7974,16.8546
"75",75,"India",26.68,3.54,65.528,30.8103,7.7748
"76",76,"Indonesia",42.19,5.61,68.325,28.8281,7.5273
"77",77,"Iran (Islamic Republic of)",48.58,13.52,72.72,24.0443,7.536
"78",78,"Iraq",58.26,8.34,67.999,41.8064,4.8374
"79",79,"Ireland",75.91,13.85,79.684,20.7858,15.894
"80",80,"Israel",78.18,8.48,80.937,27.2635,14.8883
"81",81,"Italy",67.62,8.36,81.511,14.0788,26.7013
"82",82,"Jamaica",63.84,12.37,74.152,27.0139,11.4053
"83",83,"Japan",70.22,5.07,82.653,13.3548,30.2905
"84",84,"Jordan",69.9,12.5,73,37.4776,5.3751
"85",85,"Kazakhstan",53,5.77,66.076,24.055,9.8573
"86",86,"Kenya",45.59,12.09,58.487,43.4413,3.2031
"87",87,"Kiribati",61.8,30.6,65.038,36.1013,5.4903
"88",88,"Kuwait",71.17,1.82,73.848,23.217,3.4328
"89",89,"Kyrgyzstan",47.33,8.64,67.474,29.8969,6.4446
"90",90,"Lao People's Dem. Rep.",20.22,0.71,62.993,36.432,5.5883
"91",91,"Latvia",68.31,19.48,71.552,14.0892,23.5816
"92",92,"Lebanon",78.34,6.38,77.784,25.8164,9.1977
"93",93,"Lesotho",47.82,25.86,43.068,34.8872,7.0127
"94",94,"Liberia",41.91,2.27,58.1,43.0343,4.9806
"95",95,"Libya",61.04,18.62,72.335,28.753,5.9416
"96",96,"Lithuania",66.61,17.81,71.865,14.7654,22.3867
"97",97,"Luxembourg",85.55,4.36,79.505,17.644,18.9543
"98",98,"Madagascar",20.52,3.84,62.228,43.5222,4.341
"99",99,"Malawi",6.47,6.71,51.314,46.3514,4.1983
"100",100,"Malaysia",58.05,3.25,74.026,27.9611,7.8732
"101",101,"Maldives",68.84,4.58,74.813,25.2916,6.1501
"102",102,"Mali",31.47,8.07,54.024,47.4888,4.1833
"103",103,"Malta",73.15,6.85,80.293,14.9913,23.0014
"104",104,"Martinique",65.3,21,80.106,19.5154,20.6216
"105",105,"Mauritania",15.12,10.18,61.906,41.2467,4.8397
"106",106,"Mauritius",62.69,7.69,72.761,21.9449,12.0541
"107",107,"Mexico",62.01,5.33,75.182,29.5077,8.8414
"108",108,"Mongolia",50.24,6.55,66.139,27.0218,5.6499
"109",109,"Montenegro",74.82,19.68,74.19,19.2436,17.8771
"110",110,"Morocco",37.8,9.06,73.413,28.5137,8.6269
"111",111,"Mozambique",19.31,22.17,51.093,45.7322,4.7112
"112",112,"Myanmar",24.4,0.79,62.441,30.0461,7.3306
"113",113,"Namibia",55.62,22.1,53.014,37.4144,5.8402
"114",114,"Nepal",17.7,2.12,66.467,36.289,7.5285
"115",115,"Netherlands",79.3,4.45,80.178,17.5222,21.968
"116",116,"New Caledonia",62.98,14.19,75.184,25.8324,10.9902
"117",117,"New Zealand",72.17,6.14,80.32,20.4975,18.3637
"118",118,"Nicaragua",51.34,7.83,71.728,33.3185,6.2933
"119",119,"Niger",15.07,0.86,55.337,50.0361,4.1561
"120",120,"Nigeria",55.28,3.9,49.76,44.0352,4.5414
"121",121,"North Macedonia",51.08,32.02,74.168,17.9055,16.3791
"122",122,"Norway",77.76,3.52,80.602,18.8116,21.0006
"123",123,"Oman",57.96,3.98,75.06,25.689,3.8985
"124",124,"Pakistan",35.19,0.65,64.493,37.695,6.3026
"125",125,"Panama",63.88,6.52,76.312,29.1307,9.6909
"126",126,"Papua New Guinea",66.72,2,61.317,38.3023,5.2846
"127",127,"Peru",55.42,3.48,73.66,30.0951,8.9003
"128",128,"Philippines",51.84,3.61,69.449,33.9914,6.5015
"129",129,"Poland",56.64,9.64,75.559,15.2173,19.3524
"130",130,"Portugal",61.55,10.77,79.281,14.9672,24.6722
"131",131,"Puerto Rico",84.67,16.37,77.939,20.6289,18.2972
"132",132,"Qatar",41.33,0.45,78.687,12.8872,1.6299
"133",133,"Republic of Korea",68.48,3.72,79.469,16.1016,15.3337
"134",134,"Republic of Moldova",53.83,7.45,68.273,16.5163,14.0894
"135",135,"Réunion",67.1,28.9,78.201,25.4171,12.1951
"136",136,"Romania",40.67,6.96,73.076,15.7755,21.3425
"137",137,"Russian Federation",64.51,7.37,67.143,14.9273,17.9647
"138",138,"Saint Lucia",67.01,20.64,74.506,23.2157,11.8637
"139",139,"Saint Vincent & Grenadines",80.03,18.82,71.644,25.8334,11.3085
"140",140,"Samoa",78.82,4.78,70.995,38.3089,7.0923
"141",141,"Sao Tome and Principe",60.04,14.63,66.135,43.4066,4.4048
"142",142,"Saudi Arabia",74.35,5.55,73.461,29.7035,4.4554
"143",143,"Senegal",27.02,10.22,62.546,43.507,4.764
"144",144,"Serbia",55.04,19.22,73.437,17.3351,21.0905
"145",145,"Sierra Leone",29.83,4.27,46.991,43.0379,4.8143
"146",146,"Singapore",69.49,3.17,81.219,13.9939,12.6714
"147",147,"Slovakia",59.65,14.38,74.773,15.3351,17.8209
"148",148,"Slovenia",58.6,7.24,78.553,13.9905,22.1767
"149",149,"Solomon Islands",21.42,2.07,69.885,40.7516,5.1199
"150",150,"Somalia",6.17,6.01,53.18,48.1745,4.3753
"151",151,"South Africa",70.74,24.69,54.701,29.6717,7.1703
"152",152,"South Sudan",26.09,12.14,53.283,43.5183,5.1908
"153",153,"Spain",72.83,19.86,81.222,14.7934,22.2385
"154",154,"Sri Lanka",41.51,4.94,74.934,25.3783,11.9231
"155",155,"State of Palestine",61.53,23.73,72.453,42.2937,4.3586
"156",156,"Sudan",28.16,12.81,61.624,42.9944,5.0892
"157",157,"Sweden",78.02,8.58,81.064,16.5079,24.8655
"158",158,"Switzerland",74.08,4.81,81.781,15.0583,22.8281
"159",159,"Syrian Arab Republic",50.56,8.61,74.452,37.3903,5.0099
"160",160,"Tajikistan",31.4,11.72,67.731,35.6773,4.7783
"161",161,"Thailand",41.11,0.62,73.15,19.1838,12.9412
"162",162,"Timor-Leste",39.88,3.3,66.161,42.5343,6.3372
"163",163,"Tonga",37.75,1.07,69.862,37.4079,7.8549
"164",164,"Trinidad and Tobago",66.09,5.93,71.338,20.7224,12.4367
"165",165,"Tunisia",37.34,13.05,74.634,23.3332,10.3837
"166",166,"Turkey",50.07,10.66,73.37,26.9019,10.3577
"167",167,"Turkmenistan",42.29,4,65.868,29.5174,6.0788
"168",168,"Uganda",21.81,4.01,54.409,49.0926,3.0312
"169",169,"Ukraine",54,8.1,67.887,14.126,20.9527
"170",170,"United Arab Emirates",69.93,3.7,75.863,13.1563,1.3995
"171",171,"United Kingdom",79.57,7.79,79.686,17.4955,22.6108
"172",172,"United Rep. of Tanzania",22.4,2.97,56.288,44.8756,4.0287
"173",173,"United States of America",79.91,9.63,78.192,20.2048,18.3749
"174",174,"United States Virgin Islands",86.73,7.31,77.823,20.7377,20.4445
"175",175,"Uruguay",67.02,7.16,76.376,22.2024,18.5126
"176",176,"Uzbekistan",35.69,8.19,69.102,29.1353,6.1811
"177",177,"Vanuatu",31.73,5.4,68.741,38.2154,5.7068
"178",178,"Venezuela (Boliv. Rep. of)",66.95,8.45,72.994,29.9075,8.4035
"179",179,"Viet Nam",29.74,2.64,74.593,23.6272,8.8259
"180",180,"Western Sahara",35.2,7.93,66.204,29.3505,3.8232
"181",181,"Yemen",56.86,17.82,64.706,42.6731,4.2798
"182",182,"Zambia",27.85,13.19,51.75,47.2891,3.2923
"183",183,"Zimbabwe",21.59,5.27,45.017,41.6098,4.4003
